metric,value
all_oos_rows_before_filter,12951
rows_with_usable_same_day_minutes,11863
usable_row_pct,91.599104316269
val_rows,5902
test_rows,5961
candidate_count,60
selected_candidate,trail_after_2_dd_0.5_stay_out
val_baseline_mean_ret_pct,0.3741595404947475
val_strategy_mean_ret_pct,0.5566197793099132
val_delta_mean_ret_pct,0.18246023881516577
test_baseline_mean_ret_pct,0.4984621922496225
test_strategy_mean_ret_pct,0.7384994267883269
test_delta_mean_ret_pct,0.2400372345387044
test_n_stopped,2189
test_stop_rate_pct,36.722026505619866
test_n_reentered,0
test_reentry_rate_among_stopped_pct,0.0
missing_or_unusable_rows,1088
