decile_score_threshold,raw_pred_mean4_cutoff,val_n_trades,val_return_pct,val_max_drawdown_pct,val_sortino_trade,val_objective_val,test_n_trades,test_return_pct,test_max_drawdown_pct,test_sortino_trade,test_cvar5_trade_ret_pct,test_objective_val
0.05,-0.03140243627459308,588,622.1757781699763,-22.05845670873551,0.41309724292733385,611.1465498156085,644,749.0932386274519,-14.928781747740283,0.48964991212613723,-11.718145454545455,741.6288477535818
0.1,0.046949002381851186,593,646.3302204634692,-22.05845670873554,0.41120730959766993,635.3009921091015,644,746.3249434689415,-14.944822372369526,0.4794507463432395,-11.796963636363637,738.8525322827567
0.15,0.08787130901000129,622,1085.600800324681,-22.05845670873553,0.5381386803230452,1074.5715719703132,643,770.2894996308102,-15.797393265588976,0.4886544266535719,-11.598642424242424,762.3908029980157
0.2,0.11616522078493433,617,1107.4349918519001,-22.05845670873552,0.5361318189181675,1096.4057634975325,645,903.6078153689834,-13.698713203879064,0.5002816647570112,-11.5772,896.7584587670439
0.25,0.1391798137396616,625,1099.4663591888084,-22.05845670873555,0.5100384872017113,1088.4371308344405,644,889.6931973184694,-13.699936412438262,0.5138848195033723,-11.5772,882.8432291122502
0.3,0.1578789232083557,628,1090.5896353801986,-22.05845670873553,0.5025524626224017,1079.560407025831,646,868.7227352554895,-13.699936412438262,0.5098478684770797,-11.69699696969697,861.8727670492704
0.35,0.17625901150809234,656,1073.5842140497957,-22.05845670873553,0.5358085833608796,1062.554985695428,640,879.7943314379202,-12.495432356499137,0.5476585341471207,-11.584046875,873.5466152596706
0.4,0.19365206487361603,643,1099.09728929063,-21.891506641020097,0.49937311528449496,1088.15153597012,634,960.3596729472375,-12.495432356499126,0.538599947315089,-11.732559375,954.111956768988
0.45,0.21021364341177945,675,1410.3573548349952,-17.71270279161502,0.539574021820364,1401.5010034391878,615,951.9579920869934,-11.662731124376592,0.5341124613171156,-11.680922580645161,946.126626524805
0.5,0.2286082907929334,681,2178.4807248877987,-15.423041477543876,0.5593779240971484,2170.769204149027,615,944.3754368675426,-11.66273112437658,0.53415493392768,-11.680922580645161,938.5440713053544
0.55,0.2504037087186604,681,2206.075358360934,-15.472481620615596,0.5723215497521199,2198.3391175506263,617,975.4428299226744,-13.609634238122725,0.4757453687779146,-11.824093548387097,968.638012803613
0.6,0.27720668771597584,688,2131.9651963636447,-15.4617701762647,0.5834070008754872,2124.2343112755125,602,926.0944930048181,-13.610317454590504,0.5189906122775423,-11.311987096774192,919.2893342775228
0.65,0.30979763613076394,670,2223.758249159436,-15.422194845453408,0.5926060664504856,2216.0471517367096,597,1099.316108408,-13.610317454590504,0.5196213075065205,-11.384049999999998,1092.5109496807047
0.7,0.355490127229111,683,4002.4186478570464,-16.826981767551842,0.6749803756298878,3994.0051569732705,608,762.5027583889414,-13.974022919246675,0.47212894345900297,-11.824767741935482,755.5157469293181
0.75,0.4131601026107441,670,3614.7109456693433,-16.4691730365351,0.6676654871464431,3606.476359151076,583,762.700133719463,-13.974022919246664,0.44290107885071345,-12.142726666666666,755.7131222598397
0.8,0.4906493299112331,633,3291.076333087542,-16.469155408562187,0.7875149195599055,3282.841755383261,580,988.2585753806147,-12.976979511116793,0.5549206747128087,-11.856137931034482,981.7700856250564
0.85,0.5926875769858451,581,5436.987676421364,-14.560332461261783,0.8894850147500099,5429.707510190733,543,959.6075718665911,-11.695775127973008,0.5919748942210896,-12.203896428571428,953.7596843026046
0.9,0.7411469097345084,492,5036.314339704731,-10.632384851750032,1.0391009625376675,5030.998147278856,481,1149.460151334154,-13.339807121902092,0.6614852981059606,-11.924296,1142.790247773203
0.95,1.0658937648562699,342,5809.507532087325,-5.093163216025831,1.5511228746801924,5806.960950479312,331,871.9218868564478,-11.028535196112744,0.7843190410888312,-12.019564705882352,866.4076192583915
