horizon_days,target,decile,n,mean_pred,mean_actual,pct_pos_actual
1,return_1d_pct,1,244,0.007482106800066018,0.005992865568743929,53.68852459016394
1,return_1d_pct,2,244,0.21348625585999284,0.2861736172551128,57.786885245901644
1,return_1d_pct,3,244,0.32127939917888715,0.1126522407357844,50.409836065573764
1,return_1d_pct,4,244,0.4085820265262704,0.3242545733683573,54.50819672131148
1,return_1d_pct,5,244,0.49287040437774815,0.34234605135128393,55.73770491803278
1,return_1d_pct,6,244,0.593213218862173,0.33880401571625735,53.278688524590166
1,return_1d_pct,7,244,0.7469612598694392,0.992774077482421,54.91803278688525
1,return_1d_pct,8,244,0.9447344530829797,1.186715100221229,56.9672131147541
1,return_1d_pct,9,244,1.2755737635781887,1.5058948533052097,50.409836065573764
1,return_1d_pct,10,245,2.4201506577910337,2.6463875140241417,57.14285714285714
3,return_3d_pct,1,243,-0.16401799187717306,-0.1142386911896998,45.67901234567901
3,return_3d_pct,2,243,-0.028960249729414984,-0.08426521550885444,51.440329218106996
3,return_3d_pct,3,243,0.016283895186449807,0.2391827365805462,52.674897119341566
3,return_3d_pct,4,243,0.05233033826215512,0.22653858926775644,53.90946502057613
3,return_3d_pct,5,243,0.08235634779543768,0.09957049549557048,50.617283950617285
3,return_3d_pct,6,243,0.1159038668361391,0.17885793725434737,53.086419753086425
3,return_3d_pct,7,243,0.16309243330070503,0.3895503703663626,54.32098765432099
3,return_3d_pct,8,243,0.24242973832176073,0.5488676970187694,60.90534979423868
3,return_3d_pct,9,243,0.4010147557087787,0.28694407278263384,54.32098765432099
3,return_3d_pct,10,249,0.9240470509390166,1.2829106767415197,58.63453815261044
5,return_5d_pct,1,243,-0.2043497849240758,-0.20944061562021193,44.03292181069959
5,return_5d_pct,2,243,-0.06046754415415301,0.0705945897768238,52.674897119341566
5,return_5d_pct,3,243,-0.02415310408651593,0.21177778024354318,54.73251028806584
5,return_5d_pct,4,243,0.007948502036335466,0.2380942729797287,53.086419753086425
5,return_5d_pct,5,243,0.03421727228251632,0.1986662407618861,54.32098765432099
5,return_5d_pct,6,243,0.05777816198320678,0.28049540734709505,56.37860082304527
5,return_5d_pct,7,243,0.08740574383444052,0.05084528829953617,54.32098765432099
5,return_5d_pct,8,243,0.140020822173501,0.00465754454875247,50.617283950617285
5,return_5d_pct,9,243,0.23798309749853513,0.13299683823306044,50.20576131687243
5,return_5d_pct,10,245,0.5448305630887046,0.8009678966073212,61.224489795918366
10,return_10d_pct,1,241,-0.26968988249153925,-0.1618865641324473,48.54771784232365
10,return_10d_pct,2,241,-0.10603238285246953,0.01435616780991471,48.13278008298755
10,return_10d_pct,3,241,-0.06291242747844684,0.07980036617550001,43.983402489626556
10,return_10d_pct,4,241,-0.0350765162883075,0.02889954459191936,49.37759336099585
10,return_10d_pct,5,241,-0.01250165394507147,0.1304880495451364,59.33609958506224
10,return_10d_pct,6,241,0.006635746008932796,0.10940621584325148,48.96265560165975
10,return_10d_pct,7,241,0.027101841502584805,0.02460303987024085,50.20746887966805
10,return_10d_pct,8,241,0.05338446616791324,0.031236852880063695,49.37759336099585
10,return_10d_pct,9,241,0.12024587414039985,0.05950143181741395,50.62240663900415
10,return_10d_pct,10,250,0.3529006506026443,0.19259182212879566,47.599999999999994
