target,decile,n,mean_pred,mean_actual,pct_pos_actual
return_2d_open_pct,1,244,-0.15385488246199872,-0.16593331772147907,52.04918032786885
return_2d_open_pct,2,244,0.0366350249994662,-0.040581131643003844,51.229508196721305
return_2d_open_pct,3,244,0.10378309292751949,0.04043175364857822,50.0
return_2d_open_pct,4,244,0.15631736052803133,0.04912217693743456,51.229508196721305
return_2d_open_pct,5,244,0.2100948319971482,0.2114171560099719,50.409836065573764
return_2d_open_pct,6,244,0.2708542847303273,0.3105629912264365,54.09836065573771
return_2d_open_pct,7,244,0.3508208778011776,0.4877937416632414,56.14754098360656
return_2d_open_pct,8,244,0.4692418394686623,0.33423720553073,52.04918032786885
return_2d_open_pct,9,244,0.676369049280014,0.7823224108411969,55.73770491803278
return_2d_open_pct,10,248,1.3135367536503701,1.7154791661861708,62.5
