min_decile_score,n,mean_actual,median_actual,std_actual,pct_pos_actual
0.0,2380,0.4470576147302,1.14698411693792,3.6246153914514485,64.91596638655463
0.1,2201,0.501056732460878,1.1857707509881577,3.5994674158757207,65.74284416174466
0.2,2002,0.5652403950423824,1.2345839506172867,3.57319816561768,66.23376623376623
0.3,1786,0.6298005131773671,1.2645755856472873,3.5746562487514764,67.24524076147816
0.4,1526,0.6763268852525794,1.3192411398246313,3.6587927744372353,68.02096985583223
0.5,1271,0.7540078654402832,1.3937,3.703902844387721,69.70889063729348
0.6,1017,0.7328764422388181,1.4287,3.8165681233877944,70.10816125860374
0.7,739,0.6528723768988145,1.435406698564612,4.007798123295044,69.41813261163735
0.8,473,0.7390095130202667,1.4593023255813797,4.106026458849108,70.19027484143763
0.9,233,0.7959797356477174,1.4749262536873031,4.472166422534854,69.52789699570815
